studlab,intervention_type,language,publ_date,design,databases,publication_status,documentation_for_treatment,time_of_intervention,outcome_reported_as,method_of_outcome_analysis,nrsi_adj_outcome,imputed_outcome,imputed_vars,imputed_timepoint,rob_tool,total_avg_age,n,lost_to_fu,neer_1_part,neer_2_part,neer_3_part,neer_4_part,oss_6_n,oss_6_mean,oss_6_sd,oss_12_n,oss_12_mean,oss_12_sd,oss_24_n,oss_24_mean,oss_24_sd,cs_3_n,cs_3_mean,cs_3_sd,cs_4_n,cs_4_mean,cs_4_sd,cs_6_n,cs_6_mean,cs_6_sd,cs_12_n,cs_12_mean,cs_12_sd,cs_16_n,cs_16_mean,cs_16_sd,cs_24_n,cs_24_mean,cs_24_sd,cs_26_n,cs_26_mean,cs_26_sd,cs_28_n,cs_28_mean,cs_28_sd,cs_34_n,cs_34_mean,cs_34_sd,cs_37_n,cs_37_mean,cs_37_sd,cs_40_n,cs_40_mean,cs_40_sd,cs_48_n,cs_48_mean,cs_48_sd,cs_49_n,cs_49_mean,cs_49_sd,cs_50_n,cs_50_mean,cs_50_sd,cs_55_n,cs_55_mean,cs_55_sd,cs_80_n,cs_80_mean,cs_80_sd,ases_6_n,ases_6_mean,ases_6_sd,ases_12_n,ases_12_mean,ases_12_sd,ases_24_n,ases_24_mean,ases_24_sd,ases_40_n,ases_40_mean,ases_40_sd,ases_41_n,ases_41_mean,ases_41_sd,sane_41_n,sane_41_mean,sane_41_sd,pss_41_n,pss_41_mean,pss_41_sd,qdash_28_n,qdash_28_mean,qdash_28_sd,dash_4_n,dash_4_mean,dash_4_sd,dash_12_n,dash_12_mean,dash_12_sd,dash_24_n,dash_24_mean,dash_24_sd,dash_26_n,dash_26_mean,dash_26_sd,dash_40_n,dash_40_mean,dash_40_sd,dash_55_n,dash_55_mean,dash_55_sd,sst_3_n,sst_3_mean,sst_3_sd,sst_12_n,sst_12_mean,sst_12_sd,eq5d_3_n,eq5d_3_mean,eq5d_3_sd,eq5d_4_n,eq5d_4_mean,eq5d_4_sd,eq5d_6_n,eq5d_6_mean,eq5d_6_sd,eq5d_12_n,eq5d_12_mean,eq5d_12_sd,eq5d_24_n,eq5d_24_mean,eq5d_24_sd,qol15d_3_n,qol15d_3_mean,qol15d_3_sd,qol15d_6_n,qol15d_6_mean,qol15d_6_sd,qol15d_12_n,qol15d_12_mean,qol15d_12_sd,qol15d_24_n,qol15d_24_mean,qol15d_24_sd,qolpromis_40_n,qolpromis_40_mean,qolpromis_40_sd,sf12pcs_6_n,sf12pcs_6_mean,sf12pcs_6_sd,sf12pcs_12_n,sf12pcs_12_mean,sf12pcs_12_sd,sf12pcs_24_n,sf12pcs_24_mean,sf12pcs_24_sd,sf36pcs_55_n,sf36pcs_55_mean,sf36pcs_55_sd,vr12_41_n,vr12_41_mean,vr12_41_sd,nonunion_11_e,nonunion_11_n,nonunion_12_e,nonunion_12_n,nonunion_16_e,nonunion_16_n,nonunion_24_e,nonunion_24_n,nonunion_28_e,nonunion_28_n,nonunion_37_e,nonunion_37_n,nonunion_40_e,nonunion_40_n,nonunion_50_e,nonunion_50_n,avn_11_e,avn_11_n,avn_12_e,avn_12_n,avn_16_e,avn_16_n,avn_24_e,avn_24_n,avn_28_e,avn_28_n,avn_36_e,avn_36_n,avn_37_e,avn_37_n,avn_40_e,avn_40_n,avn_48_e,avn_48_n,avn_49_e,avn_49_n,avn_50_e,avn_50_n,avn_55_e,avn_55_n,avn_66_e,avn_66_n,infection_12_e,infection_12_n,infection_18_e,infection_18_n,infection_24_e,infection_24_n,infection_28_e,infection_28_n,infection_40_e,infection_40_n,infection_41_e,infection_41_n,infection_48_e,infection_48_n,infection_50_e,infection_50_n,infection_55_e,infection_55_n,infection_66_e,infection_66_n,nerveinj_12_e,nerveinj_12_n,nerveinj_24_e,nerveinj_24_n,nerveinj_40_e,nerveinj_40_n,metalwork_12_e,metalwork_12_n,metalwork_16_e,metalwork_16_n,metalwork_24_e,metalwork_24_n,metalwork_37_e,metalwork_37_n,metalwork_40_e,metalwork_40_n,metalwork_48_e,metalwork_48_n,metalwork_50_e,metalwork_50_n,metalwork_55_e,metalwork_55_n,failure_11_e,failure_11_n,failure_12_e,failure_12_n,failure_24_e,failure_24_n,failure_28_e,failure_28_n,failure_40_e,failure_40_n,displacement_12_e,displacement_12_n,displacement_24_e,displacement_24_n,displacement_28_e,displacement_28_n,displacement_37_e,displacement_37_n,displacement_55_e,displacement_55_n,revision_6_e,revision_6_n,revision_12_e,revision_12_n,revision_16_e,revision_16_n,revision_18_e,revision_18_n,revision_24_e,revision_24_n,revision_28_e,revision_28_n,revision_34_e,revision_34_n,revision_37_e,revision_37_n,revision_40_e,revision_40_n,revision_41_e,revision_41_n,revision_50_e,revision_50_n,revision_55_e,revision_55_n,revision_66_e,revision_66_n,rob2_overall,rob_overall,minors_total,nos_total
lange 2016,imn,english,2016-12-29,retrospective nrsi,yes,published,yes,NA,difference at follow-up,per-protocol,no,not_std,cs,34,minors,69,143,26,0,7,20,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41,72.3,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,NA
lange 2016,nonop,english,2016-12-29,retrospective nrsi,yes,published,yes,NA,difference at follow-up,per-protocol,no,not_std,cs,34,minors,69,167,128,0,7,20,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41,72,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,NA
okike 2015,plate,english,2015-04-01,retrospective nrsi,yes,published,no,NA,difference at follow-up,per-protocol,no,no,NA,NA,minors,76.9,61,124,0,97,43,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,57.96,15.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,26.49,17.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,43.89,8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,25,NA,NA,NA,NA,NA,NA,NA,NA,9,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,NA
okike 2015,nonop,english,2015-04-01,retrospective nrsi,yes,published,no,NA,difference at follow-up,per-protocol,no,no,NA,NA,minors,76.9,146,36,0,32,20,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,59.69,17.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,25.08,18.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,44.97,10.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,22,NA,NA,NA,NA,NA,NA,NA,NA,0,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,NA
olerud ha 2011,ha,english,2011-07-25,rct,yes,published,yes,6,difference at follow-up,intention-to-treat,NA,no,NA,NA,rob2,76.67,27,3,0,0,0,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,36,14.6,NA,NA,NA,26,48.9,14.6,NA,NA,NA,24,48.3,16.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,42.8,20.6,26,32,22.6,24,30.2,18.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,0.69,0.22,NA,NA,NA,26,0.73,0.22,24,0.81,0.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,some concern,NA,NA,NA
olerud ha 2011,nonop,english,2011-07-25,rct,yes,published,yes,6,difference at follow-up,intention-to-treat,NA,no,NA,NA,rob2,76.67,28,3,0,0,0,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,41.4,12.7,NA,NA,NA,25,47.7,16.8,NA,NA,NA,25,49.6,20.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,41.5,19.9,25,35,23.8,25,36.9,21.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,0.59,0.28,NA,NA,NA,24,0.66,0.24,24,0.65,0.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,some concern,NA,NA,NA
olerud lp 2011,plate,english,2011-03-25,rct,yes,published,yes,6,difference at follow-up,intention-to-treat,NA,no,NA,NA,rob2,73.88,30,3,0,0,30,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,52.3,14.3,NA,NA,NA,26,61.5,18.4,NA,NA,NA,27,61,19.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,36.2,22.4,27,29.1,23.3,26,26.4,25.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,0.71,0.27,NA,NA,NA,27,0.74,0.24,27,0.7,0.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,27,NA,NA,NA,NA,NA,NA,8,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,some concern,NA,NA,NA
olerud lp 2011,nonop,english,2011-03-25,rct,yes,published,yes,6,difference at follow-up,intention-to-treat,NA,no,NA,NA,rob2,73.88,30,4,0,0,30,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,48.8,16.3,NA,NA,NA,27,56.8,16.8,NA,NA,NA,26,58.4,23.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,35.7,20.1,27,35.1,24.2,25,35,26.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,0.61,0.23,NA,NA,NA,27,0.65,0.28,26,0.59,0.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,26,NA,NA,NA,NA,NA,NA,0,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,some concern,NA,NA,NA
rangan 2015,mixed,english,2015-03-10,rct,yes,published,yes,10.4,difference at follow-up,intention-to-treat,NA,no,NA,NA,rob2,66,125,11,9,65,46,5,113,37.07,9.99,111,36.89,10.78,106,38.25,9.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,106,0.64,0.25,NA,NA,NA,111,0.69,0.24,109,0.65,0.3,108,0.67,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,106,45.3,10.01,108,45.2,10.98,105,45.2,11.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,125,NA,NA,NA,NA,NA,NA,10,125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,some concern,NA,NA,NA
rangan 2015,nonop,english,2015-03-10,rct,yes,published,yes,10.4,difference at follow-up,intention-to-treat,NA,no,NA,NA,rob2,66,125,8,9,63,47,6,119,33.07,11,114,36.45,10.86,109,38.39,10.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98,0.63,0.24,NA,NA,NA,114,0.63,0.28,109,0.68,0.28,103,0.69,0.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,110,42.7,11.25,110,43.7,10.98,105,44.1,11.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,125,NA,NA,NA,NA,NA,NA,0,125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,some concern,NA,NA,NA
roberson 2017,rsa,english,2017-01-27,retrospective nrsi,yes,published,yes,NA,difference at follow-up,per-protocol,no,yes,"sane, pss, ases, vr12",41,minors,71,20,NA,0,0,15,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,72,2.4737377386564e-4,20,77,24.6704378667596,20,70,24.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,85,25.7811554247225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,20,NA,NA,NA,NA,NA,NA,NA,NA,16,NA
roberson 2017,nonop,english,2017-01-27,retrospective nrsi,yes,published,yes,NA,difference at follow-up,per-protocol,no,yes,"sane, pss, ases, vr12",41,minors,71,19,NA,0,0,15,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,72,2.4737377386564e-4,19,78,24.6704378667596,19,73,24.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,87,25.7811554247225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,19,NA,NA,NA,NA,NA,NA,NA,NA,16,NA
